Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.049995	3.964684	3.492415	9.423077	16.260000	
0.049978	3.450038	3.197445	17.505385	22.140000	
0.049951	3.189419	3.003882	22.623077	25.600000	
0.049912	3.012330	2.843796	26.143077	28.320000	
0.049863	2.881214	2.685958	28.847692	32.260000	
0.049803	2.766094	2.659581	31.309231	33.200000	
0.049732	2.674382	2.538504	33.114615	35.380000	
0.049650	2.594807	2.485493	34.806923	37.060000	
0.049557	2.526734	2.480943	36.409231	37.200000	
0.049454	2.470258	2.376037	37.622308	39.660000	
0.049340	2.421410	2.312279	38.623846	40.020000	
0.049215	2.377711	2.234748	39.587692	42.540000	
0.049079	2.341320	2.220984	40.433846	42.400000	
0.048933	2.306923	2.239906	40.997692	42.380000	
0.048777	2.282600	2.300282	41.650769	40.980000	
0.048610	2.251774	2.120678	42.398462	45.640000	
0.048432	2.231060	2.226667	42.880000	42.400000	
0.048245	2.209832	2.107720	43.321538	45.540000	
0.048047	2.194180	2.201978	43.800769	43.540000	
0.047839	2.173942	2.067347	44.026923	46.600000	
0.047621	2.148780	2.101067	44.777692	45.200000	
0.047393	2.136565	2.080249	44.989231	46.280000	
0.047155	2.119744	2.024944	45.477692	47.300000	
0.046908	2.104775	2.074512	45.754615	46.380000	
0.046651	2.091652	2.052328	46.077692	47.020000	
0.046384	2.078792	1.996453	46.298462	48.460000	
0.046108	2.064214	2.000639	46.639231	48.280000	
0.045823	2.050212	2.040039	47.116154	47.480000	
0.045529	2.044951	2.086092	47.080000	46.620000	
0.045226	2.038086	2.013073	47.390769	48.340000	
0.044914	2.024090	1.963136	47.683846	48.420000	
0.044593	2.017707	1.948520	47.753077	49.160000	
0.044263	2.008654	1.995796	47.864615	48.240000	
0.043925	1.998026	1.991107	48.088462	48.640000	
0.043579	1.994296	1.949203	48.439231	50.080000	
0.043225	1.976256	2.049748	48.616154	47.140000	
0.042862	1.974500	1.959525	48.643846	50.120000	
0.042492	1.965187	1.890785	48.999231	51.640000	
0.042114	1.955690	1.909470	49.192308	50.160000	
0.041729	1.949819	1.912275	49.323077	51.180000	
