Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.049995	3.895807	3.367633	10.304615	18.700000	
0.049978	3.198412	2.875545	22.090769	28.880000	
0.049951	2.831615	2.753876	29.463846	31.240000	
0.049912	2.577454	2.508754	35.000769	36.820000	
0.049863	2.398093	2.309522	38.908462	40.820000	
0.049803	2.261443	2.176222	42.013077	43.760000	
0.049732	2.149562	2.121094	44.462308	45.920000	
0.049650	2.059275	2.017590	46.773077	47.620000	
0.049557	1.984310	2.224465	48.350000	45.160000	
0.049454	1.920659	2.097860	49.873846	46.560000	
0.049340	1.869155	1.780419	51.100000	52.860000	
0.049215	1.811555	1.782128	52.182308	52.920000	
0.049079	1.771102	1.800215	53.404615	52.320000	
0.048933	1.727148	1.718635	54.381538	54.900000	
0.048777	1.698017	1.659667	55.086154	55.580000	
0.048610	1.669855	1.672269	55.625385	55.740000	
0.048432	1.640492	1.606622	56.516923	56.940000	
0.048245	1.602483	1.609391	57.376154	57.340000	
0.048047	1.581094	1.615492	57.914615	57.600000	
0.047839	1.562669	1.680080	58.312308	56.560000	
0.047621	1.538946	1.473062	58.955385	60.120000	
0.047393	1.523997	1.546129	59.099231	59.060000	
0.047155	1.506311	1.560707	59.640000	59.300000	
0.046908	1.491661	1.436776	59.885385	60.900000	
0.046651	1.469621	1.540004	60.698462	59.120000	
0.046384	1.459473	1.466818	60.784615	60.400000	
0.046108	1.453854	1.416588	60.897692	61.600000	
0.045823	1.435751	1.454442	61.319231	61.080000	
0.045529	1.422095	1.507139	61.616154	60.060000	
0.045226	1.415280	1.393834	61.916154	62.500000	
0.044914	1.404837	1.407974	62.158462	62.440000	
0.044593	1.393629	1.356372	62.451538	63.600000	
0.044263	1.387778	1.448256	62.563846	60.920000	
0.043925	1.377117	1.361441	62.734615	63.440000	
0.043579	1.371364	1.437765	62.890000	61.860000	
0.043225	1.358023	1.405562	63.345385	62.340000	
0.042862	1.351926	1.343288	63.386154	64.620000	
0.042492	1.346990	1.379923	63.471538	63.560000	
0.042114	1.333000	1.332433	63.863846	62.960000	
0.041729	1.329959	1.248780	63.822308	65.840000	
0.041336	1.321400	1.354793	64.176154	63.900000	
0.040936	1.313940	1.274806	64.310769	65.580000	
0.040529	1.308019	1.321595	64.535385	63.980000	
0.040115	1.300488	1.266775	64.772308	65.360000	
0.039695	1.290696	1.280810	64.986154	65.020000	
0.039268	1.283080	1.362953	65.182308	62.740000	
0.038835	1.287194	1.253678	64.910769	66.280000	
0.038396	1.276808	1.242918	65.240769	65.800000	
0.037951	1.264724	1.246316	65.553077	65.980000	
0.037500	1.264929	1.414002	65.499231	61.680000	
0.037044	1.258545	1.274789	65.709231	65.900000	
0.036583	1.246118	1.205516	66.031538	67.500000	
0.036116	1.240524	1.419222	66.280769	62.220000	
0.035645	1.237785	1.255952	66.163846	66.360000	
0.035169	1.231567	1.259263	66.317692	66.400000	
0.034688	1.230924	1.247813	66.443077	66.160000	
0.034204	1.224245	1.290372	66.660000	65.500000	
0.033715	1.219716	1.244326	66.752308	66.580000	
0.033222	1.213896	1.226578	66.900000	66.980000	
0.032726	1.202462	1.297975	67.166923	64.980000	
0.032226	1.199322	1.291008	67.202308	64.800000	
0.031723	1.189317	1.140942	67.419231	68.580000	
0.031218	1.182823	1.219529	67.513077	67.540000	
0.030709	1.181955	1.145363	67.663846	68.760000	
0.030198	1.174153	1.199899	67.873077	67.980000	
0.029685	1.165977	1.251006	68.057692	66.360000	
0.029170	1.164404	1.126290	68.003846	69.420000	
0.028653	1.159428	1.202727	68.164615	67.840000	
0.028134	1.153086	1.138210	68.400000	69.640000	
0.027614	1.144972	1.169777	68.585385	68.140000	
0.027092	1.133651	1.224784	68.923077	67.120000	
0.026570	1.136638	1.136040	68.735385	69.220000	
0.026047	1.128862	1.089660	69.068462	70.880000	
0.025524	1.126878	1.088554	69.079231	70.520000	
