Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.004177	0.433288	0.684344	87.510769	81.880000	
0.003892	0.427722	0.692474	87.553846	81.660000	
0.003616	0.416993	0.682977	87.926923	82.140000	
0.003350	0.411350	0.687089	88.110000	82.080000	
0.003093	0.403135	0.679396	88.360769	82.640000	
0.002845	0.398041	0.693052	88.522308	81.680000	
0.002607	0.393270	0.679523	88.740769	82.240000	
0.002380	0.383056	0.685722	88.924615	82.200000	
0.002162	0.377498	0.682616	89.137692	82.560000	
0.001954	0.373911	0.687643	89.281538	82.340000	
0.001756	0.364668	0.689992	89.560769	82.140000	
0.001568	0.359473	0.685544	89.756923	82.440000	
0.001391	0.357459	0.692476	89.810000	82.140000	
0.001224	0.356621	0.690104	89.892308	82.080000	
0.001067	0.350983	0.682564	89.936154	82.280000	
0.000921	0.348111	0.680510	90.052308	82.600000	
0.000786	0.348639	0.684529	90.024615	82.400000	
0.000661	0.342646	0.680373	90.231538	82.580000	
0.000546	0.336290	0.679773	90.450769	82.680000	
0.000443	0.335200	0.681811	90.494615	82.420000	
0.000350	0.337859	0.677071	90.376923	82.640000	
0.000268	0.331438	0.676546	90.596923	82.560000	
0.000197	0.337034	0.679850	90.542308	82.620000	
0.000137	0.324966	0.680475	90.900769	82.240000	
0.000088	0.332681	0.686397	90.551538	82.520000	
0.000049	0.326947	0.683317	90.756923	82.480000	
0.000022	0.325747	0.680117	90.742308	82.400000	
0.000005	0.326616	0.676090	90.748462	82.680000	
0.000000	0.322251	0.679341	90.784615	82.520000	
