Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.049995	3.737089	3.254260	13.289231	20.940000	
0.049978	3.044975	2.696243	25.590000	31.740000	
0.049951	2.704967	2.416635	32.423077	38.380000	
0.049912	2.466812	2.315333	37.743077	40.700000	
0.049863	2.300272	2.127235	41.118462	45.240000	
0.049803	2.162287	1.972942	44.294615	48.060000	
0.049732	2.050743	1.922511	46.733846	49.640000	
0.049650	1.956168	1.812524	48.963077	52.960000	
0.049557	1.870542	1.739208	50.982308	54.180000	
0.049454	1.804957	1.737541	52.429231	54.520000	
0.049340	1.750320	1.628460	53.721538	56.700000	
0.049215	1.699212	1.553820	55.060769	58.800000	
0.049079	1.656952	1.576671	56.115385	57.960000	
0.048933	1.622316	1.526825	56.827692	59.140000	
0.048777	1.584291	1.503767	57.586923	59.780000	
0.048610	1.555154	1.510548	58.495385	60.160000	
0.048432	1.524635	1.442168	59.036923	61.280000	
0.048245	1.502911	1.380882	59.776923	62.540000	
0.048047	1.483455	1.391152	60.131538	62.520000	
0.047839	1.462441	1.363945	60.763846	63.840000	
0.047621	1.446380	1.349773	61.255385	63.840000	
0.047393	1.430110	1.365368	61.450000	63.060000	
0.047155	1.413818	1.306593	61.903846	65.360000	
0.046908	1.400858	1.306279	62.074615	64.820000	
0.046651	1.387446	1.289897	62.483077	65.020000	
0.046384	1.373744	1.282796	62.818462	64.680000	
0.046108	1.364810	1.310317	63.113077	65.140000	
0.045823	1.348154	1.283453	63.465385	65.600000	
0.045529	1.334987	1.256882	63.886923	65.180000	
0.045226	1.327414	1.260134	63.985385	66.440000	
0.044914	1.317974	1.272673	64.315385	65.500000	
0.044593	1.310197	1.226623	64.395385	67.360000	
0.044263	1.294970	1.233948	64.839231	67.220000	
0.043925	1.285693	1.226222	64.947692	66.320000	
0.043579	1.282137	1.214067	65.155385	66.400000	
0.043225	1.272629	1.216997	65.418462	66.860000	
0.042862	1.265629	1.189197	65.600769	67.560000	
0.042492	1.258717	1.232121	65.651538	67.000000	
0.042114	1.248236	1.182522	65.982308	67.520000	
0.041729	1.240425	1.201749	66.092308	67.600000	
0.041336	1.236697	1.189689	66.255385	67.840000	
0.040936	1.232666	1.151083	66.308462	68.820000	
0.040529	1.220993	1.224985	66.727692	67.440000	
0.040115	1.216900	1.145113	66.790769	68.120000	
0.039695	1.212094	1.149445	67.041538	68.920000	
0.039268	1.201929	1.119791	66.993077	69.480000	
0.038835	1.197691	1.120824	67.150769	70.000000	
0.038396	1.186894	1.133584	67.520000	69.120000	
0.037951	1.182998	1.118130	67.526154	70.020000	
0.037500	1.171502	1.134493	67.965385	69.360000	
0.037044	1.170435	1.115539	67.822308	70.160000	
0.036583	1.162524	1.140098	68.140769	68.960000	
0.036116	1.165538	1.122254	68.059231	69.360000	
0.035645	1.150260	1.108002	68.383077	69.720000	
0.035169	1.142784	1.100229	68.560000	69.620000	
0.034688	1.146317	1.112617	68.459231	69.840000	
0.034204	1.131110	1.095067	68.876923	70.300000	
0.033715	1.135098	1.064124	68.708462	71.080000	
0.033222	1.122278	1.117366	69.055385	70.260000	
0.032726	1.118113	1.054612	69.265385	71.020000	
0.032226	1.110018	1.089706	69.382308	70.640000	
0.031723	1.110738	1.047841	69.439231	71.720000	
0.031218	1.107600	1.078322	69.428462	70.540000	
0.030709	1.093585	1.051282	69.751538	71.300000	
0.030198	1.094543	1.047309	69.796154	71.620000	
0.029685	1.082835	1.043248	70.264615	71.720000	
0.029170	1.083165	1.064607	70.200000	70.920000	
0.028653	1.071546	1.007447	70.231538	72.500000	
0.028134	1.063126	1.026128	70.654615	71.760000	
0.027614	1.066357	1.041620	70.555385	71.180000	
0.027092	1.056742	1.019965	70.805385	72.240000	
0.026570	1.054482	1.023994	70.858462	72.000000	
0.026047	1.043882	1.011098	71.180769	72.580000	
0.025524	1.043448	1.005326	71.093846	72.240000	
0.025001	1.033171	1.009358	71.463077	72.180000	
0.024477	1.026125	0.986054	71.543846	73.060000	
0.023954	1.025137	0.986713	71.533077	73.220000	
0.023431	1.019054	1.004140	71.814615	72.920000	
0.022909	1.007844	0.989690	72.037692	73.240000	
0.022387	1.007519	0.970638	72.057692	73.000000	
0.021867	1.002998	0.969480	72.195385	73.820000	
0.021348	0.992118	0.959474	72.600000	73.200000	
0.020831	0.989146	0.987466	72.463846	73.580000	
0.020316	0.983420	0.949773	72.748462	74.100000	
0.019803	0.976085	0.978722	72.859231	73.120000	
0.019292	0.964731	0.945976	73.103077	74.080000	
0.018783	0.964523	0.941065	73.221538	74.780000	
0.018278	0.955895	0.976804	73.403846	73.360000	
0.017775	0.954354	0.951231	73.314615	73.340000	
0.017275	0.950802	0.926168	73.668462	74.360000	
0.016779	0.945266	0.934234	73.661538	73.840000	
0.016286	0.935845	0.930651	73.822308	74.620000	
0.015797	0.924523	0.921646	74.143077	74.560000	
0.015313	0.920656	0.908790	74.366154	74.900000	
0.014832	0.917028	0.912774	74.409231	74.660000	
0.014356	0.909951	0.920747	74.514615	74.600000	
0.013885	0.906688	0.901334	74.658462	74.780000	
0.013418	0.898270	0.897281	74.933846	75.060000	
0.012957	0.892466	0.910928	75.151538	75.020000	
0.012500	0.887399	0.909360	75.207692	75.260000	
0.012050	0.879940	0.893795	75.342308	75.120000	
0.011605	0.870102	0.886385	75.521538	75.820000	
0.011166	0.863635	0.880544	75.705385	75.440000	
