Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.004177	0.479514	0.682106	86.150769	81.860000	
0.003892	0.470916	0.677990	86.343846	81.960000	
0.003616	0.465595	0.696682	86.619231	81.340000	
0.003350	0.460274	0.688189	86.738462	81.440000	
0.003093	0.453972	0.699517	86.956923	81.500000	
0.002845	0.451850	0.687146	87.000000	81.700000	
0.002607	0.443313	0.695117	87.111538	81.800000	
0.002380	0.436684	0.691575	87.394615	81.660000	
0.002162	0.427070	0.700767	87.697692	81.300000	
0.001954	0.429767	0.693264	87.586154	81.860000	
0.001756	0.422704	0.693485	87.869231	81.840000	
0.001568	0.417115	0.690920	87.955385	81.740000	
0.001391	0.410287	0.689055	88.219231	81.680000	
0.001224	0.405673	0.682318	88.370769	82.600000	
0.001067	0.400120	0.688461	88.523077	82.460000	
0.000921	0.400986	0.689197	88.525385	81.940000	
0.000786	0.398088	0.695605	88.581538	81.700000	
0.000661	0.393984	0.685199	88.765385	81.940000	
0.000546	0.388560	0.687276	88.895385	82.000000	
0.000443	0.383447	0.692322	89.011538	81.880000	
0.000350	0.387901	0.688690	88.968462	82.100000	
0.000268	0.380958	0.691424	89.100769	82.160000	
0.000197	0.383952	0.687817	89.056923	81.980000	
0.000137	0.381172	0.693024	89.083077	82.080000	
0.000088	0.381541	0.689958	89.160769	82.040000	
0.000049	0.383460	0.689012	89.116923	82.160000	
0.000022	0.379854	0.689384	89.256154	81.980000	
0.000005	0.380104	0.688907	89.140769	82.020000	
0.000000	0.380293	0.687766	89.130000	82.020000	
