Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.049995	3.834256	3.426509	11.177692	18.060000	
0.049978	3.099580	3.007941	24.070000	26.220000	
0.049951	2.688210	2.481353	32.372308	37.040000	
0.049912	2.421062	2.305741	38.358462	40.560000	
0.049863	2.228195	2.086485	42.734615	45.120000	
0.049803	2.081331	1.983647	46.050769	48.200000	
0.049732	1.969599	1.886998	48.759231	49.940000	
0.049650	1.874532	1.958861	50.853077	50.300000	
0.049557	1.794978	1.684869	52.853846	55.420000	
0.049454	1.739877	1.676884	53.973077	55.340000	
0.049340	1.685135	1.612956	55.366154	57.800000	
0.049215	1.639718	1.641988	56.486154	57.800000	
0.049079	1.591234	1.488796	57.686923	59.420000	
0.048933	1.553413	1.432665	58.474615	61.480000	
0.048777	1.524211	1.449512	59.271538	61.480000	
0.048610	1.485476	1.417768	60.040000	61.740000	
0.048432	1.454950	1.425534	60.933077	61.560000	
0.048245	1.434862	1.430350	61.344615	61.940000	
0.048047	1.409883	1.300173	62.001538	64.880000	
0.047839	1.384890	1.360034	62.453077	64.140000	
0.047621	1.374343	1.323801	62.801538	64.060000	
0.047393	1.353190	1.307185	63.443077	65.880000	
0.047155	1.335657	1.247287	63.666923	65.720000	
0.046908	1.321650	1.292439	64.082308	65.280000	
0.046651	1.305957	1.276237	64.421538	65.540000	
0.046384	1.294443	1.252158	64.812308	65.520000	
0.046108	1.283422	1.238881	65.025385	66.060000	
0.045823	1.270368	1.283362	65.703846	65.400000	
0.045529	1.259006	1.175928	65.699231	67.520000	
0.045226	1.248982	1.192195	65.996154	67.020000	
0.044914	1.240321	1.180801	66.183846	68.180000	
0.044593	1.237179	1.140493	66.291538	69.140000	
0.044263	1.225694	1.153119	66.481538	68.600000	
0.043925	1.211544	1.204089	66.820000	67.140000	
0.043579	1.206764	1.125697	66.923846	69.020000	
0.043225	1.206219	1.131329	66.950000	68.840000	
0.042862	1.194208	1.133684	67.242308	69.900000	
0.042492	1.181318	1.230792	67.572308	66.280000	
0.042114	1.177919	1.129151	67.763846	69.240000	
0.041729	1.169825	1.132730	67.913077	68.100000	
0.041336	1.163819	1.181531	68.120000	67.860000	
0.040936	1.153607	1.098822	68.393846	69.620000	
0.040529	1.150927	1.127494	68.380000	69.580000	
0.040115	1.145257	1.084695	68.636923	70.580000	
0.039695	1.136653	1.114497	68.816923	70.340000	
0.039268	1.130598	1.078780	68.808462	70.980000	
0.038835	1.125091	1.106632	69.120769	69.840000	
0.038396	1.122497	1.120221	68.941538	69.040000	
0.037951	1.109410	1.078924	69.400000	70.280000	
0.037500	1.103012	1.041627	69.412308	71.480000	
0.037044	1.095142	1.044800	69.708462	71.720000	
0.036583	1.089744	1.071859	69.850000	70.380000	
0.036116	1.085281	1.023974	70.149231	71.260000	
0.035645	1.084144	1.068285	70.066923	70.700000	
0.035169	1.076112	1.075479	70.161538	70.980000	
0.034688	1.064637	1.025556	70.426923	71.420000	
0.034204	1.062266	1.044228	70.577692	71.580000	
0.033715	1.061058	1.013278	70.583846	71.520000	
0.033222	1.051664	1.015640	70.894615	72.300000	
0.032726	1.048393	1.017275	71.070769	72.100000	
0.032226	1.042268	1.026005	71.274615	71.880000	
0.031723	1.035228	1.032671	71.443077	71.200000	
0.031218	1.030383	1.023623	71.293077	71.820000	
0.030709	1.023174	1.003360	71.581538	72.820000	
0.030198	1.023758	1.021622	71.624615	72.420000	
0.029685	1.013597	1.092086	71.845385	70.580000	
0.029170	1.008829	0.983519	72.017692	72.560000	
0.028653	1.004986	0.988066	72.020769	72.740000	
0.028134	0.995859	0.976186	72.301538	73.280000	
0.027614	0.987210	0.968896	72.451538	73.300000	
0.027092	0.982608	0.975712	72.716923	73.320000	
0.026570	0.982279	0.959656	72.649231	73.880000	
