Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.004177	0.500595	0.669009	85.567692	82.120000	
0.003892	0.489961	0.697167	85.840000	81.300000	
0.003616	0.481007	0.685371	86.193077	81.420000	
0.003350	0.474013	0.709527	86.334615	81.040000	
0.003093	0.470670	0.702871	86.426923	81.280000	
0.002845	0.464163	0.690033	86.597692	81.580000	
0.002607	0.457283	0.695163	86.835385	81.560000	
0.002380	0.448418	0.689205	87.086923	81.820000	
0.002162	0.443509	0.694975	87.168462	81.800000	
0.001954	0.443567	0.691236	87.193077	81.680000	
0.001756	0.434633	0.694125	87.496154	81.360000	
0.001568	0.427286	0.691532	87.789231	81.840000	
0.001391	0.426618	0.686545	87.706923	81.860000	
0.001224	0.418917	0.689210	88.020769	81.880000	
0.001067	0.415047	0.687206	88.109231	81.920000	
0.000921	0.409387	0.693817	88.271538	81.660000	
0.000786	0.411787	0.682198	88.193077	82.080000	
0.000661	0.409141	0.681143	88.307692	82.020000	
0.000546	0.402570	0.682891	88.419231	82.000000	
0.000443	0.400271	0.681127	88.576154	81.600000	
0.000350	0.397669	0.682676	88.677692	81.920000	
0.000268	0.394009	0.682094	88.769231	81.700000	
0.000197	0.395306	0.684580	88.717692	81.780000	
0.000137	0.396032	0.683501	88.768462	81.800000	
0.000088	0.387970	0.680231	88.967692	82.060000	
0.000049	0.388432	0.681699	88.883846	81.920000	
0.000022	0.392422	0.682178	88.824615	81.980000	
0.000005	0.394814	0.675855	88.752308	81.860000	
0.000000	0.391111	0.680518	88.826154	81.820000	
