Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.049995	3.702512	3.151232	13.816154	24.640000	
0.049978	2.957597	2.593435	27.148462	34.160000	
0.049951	2.582582	2.406440	34.850000	39.340000	
0.049912	2.319393	2.055429	40.760769	46.160000	
0.049863	2.122868	1.976955	45.040769	48.960000	
0.049803	1.978559	1.830546	48.447692	50.980000	
0.049732	1.862717	1.724788	51.143846	54.520000	
0.049650	1.769662	1.608357	53.325385	57.400000	
0.049557	1.693281	1.569222	55.225385	58.440000	
0.049454	1.633276	1.495427	56.514615	60.220000	
0.049340	1.578881	1.491839	57.950769	60.400000	
0.049215	1.534891	1.447253	58.853077	62.120000	
0.049079	1.495853	1.358903	59.871538	63.080000	
0.048933	1.455742	1.364268	60.770000	63.100000	
0.048777	1.425371	1.402456	61.628462	62.220000	
0.048610	1.394807	1.313214	62.289231	64.160000	
0.048432	1.373125	1.302222	62.777692	64.880000	
0.048245	1.357849	1.243830	63.211538	66.420000	
0.048047	1.336170	1.250750	63.730000	65.920000	
0.047839	1.314372	1.246916	64.156923	66.720000	
0.047621	1.298639	1.228786	64.609231	67.100000	
0.047393	1.291178	1.228450	64.978462	66.700000	
0.047155	1.273429	1.217852	65.380769	66.360000	
0.046908	1.262126	1.218400	65.493846	67.680000	
0.046651	1.250756	1.179367	65.922308	67.760000	
0.046384	1.233523	1.135214	66.340769	68.960000	
0.046108	1.227718	1.182658	66.544615	68.100000	
0.045823	1.214412	1.154056	66.863846	69.480000	
0.045529	1.202117	1.138194	67.062308	68.940000	
0.045226	1.194844	1.143340	67.348462	68.880000	
0.044914	1.184833	1.148592	67.625385	69.140000	
0.044593	1.179062	1.106100	67.732308	69.400000	
0.044263	1.167817	1.098306	68.012308	70.780000	
0.043925	1.158979	1.210363	68.220000	68.080000	
0.043579	1.152378	1.070295	68.364615	71.460000	
0.043225	1.145462	1.099202	68.473846	69.960000	
0.042862	1.141894	1.067166	68.502308	70.540000	
0.042492	1.132347	1.058211	68.865385	71.340000	
0.042114	1.117477	1.079726	69.275385	70.280000	
0.041729	1.120957	1.108090	69.136923	69.420000	
0.041336	1.112445	1.061114	69.356154	70.480000	
0.040936	1.104317	1.040110	69.515385	70.920000	
0.040529	1.093443	1.047113	69.816923	71.160000	
0.040115	1.086575	1.079159	70.030000	70.780000	
0.039695	1.083605	1.056623	70.160000	70.400000	
0.039268	1.083181	1.065384	70.046923	71.300000	
0.038835	1.073419	1.064741	70.297692	70.800000	
0.038396	1.068778	1.029071	70.363077	71.840000	
0.037951	1.058089	1.035235	70.680000	71.480000	
0.037500	1.051055	1.039426	70.939231	71.940000	
0.037044	1.049787	1.022095	70.927692	72.640000	
0.036583	1.042391	1.001351	71.045385	72.400000	
0.036116	1.035823	0.993724	71.173846	72.300000	
0.035645	1.032544	1.003188	71.423846	72.420000	
0.035169	1.029332	1.046515	71.455385	72.180000	
0.034688	1.020284	0.967598	71.643846	73.180000	
0.034204	1.019537	1.002843	71.812308	72.200000	
0.033715	1.013630	0.980648	71.800000	72.960000	
0.033222	1.002662	0.986557	72.136154	72.940000	
0.032726	1.000685	0.988543	72.170769	72.840000	
0.032226	0.997049	0.975127	72.233077	72.820000	
0.031723	0.993619	0.975732	72.396923	72.920000	
0.031218	0.982007	0.974310	72.763846	73.400000	
0.030709	0.979688	0.980118	72.720769	72.700000	
0.030198	0.973872	0.975099	72.866923	73.920000	
0.029685	0.969651	0.985766	72.919231	72.640000	
0.029170	0.961278	0.954501	73.156154	74.340000	
0.028653	0.954780	0.936618	73.264615	74.740000	
0.028134	0.953091	0.915468	73.550769	74.960000	
0.027614	0.949840	0.951699	73.460769	74.240000	
0.027092	0.934897	0.945956	73.926923	73.980000	
0.026570	0.931437	0.913904	74.046923	74.580000	
0.026047	0.926322	0.955892	74.152308	73.100000	
0.025524	0.913802	0.942986	74.474615	73.920000	
0.025001	0.912946	0.932617	74.416923	74.640000	
0.024477	0.915848	0.914926	74.302308	74.660000	
0.023954	0.908528	0.906080	74.519231	75.520000	
