Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.049995	4.173264	3.850095	6.004615	11.080000	
0.049978	3.671702	3.755599	13.606154	13.780000	
0.049951	3.399394	3.329462	18.733846	19.480000	
0.049912	3.214850	3.030253	22.411538	25.100000	
0.049863	3.070633	3.123449	25.196923	23.280000	
0.049803	2.952864	3.291813	27.513846	21.740000	
0.049732	2.849366	2.755948	29.719231	31.240000	
0.049650	2.774595	2.778892	31.062308	30.840000	
0.049557	2.704762	2.677698	32.571538	33.040000	
0.049454	2.647067	2.686382	33.912308	33.440000	
0.049340	2.596698	2.540308	34.922308	35.500000	
0.049215	2.550953	2.480344	35.983077	36.900000	
0.049079	2.517118	2.409172	36.626154	38.780000	
0.048933	2.476733	2.546123	37.579231	36.140000	
0.048777	2.451614	2.907595	37.950769	28.740000	
0.048610	2.413359	2.411458	38.790000	39.400000	
0.048432	2.392010	2.425985	39.396154	37.620000	
0.048245	2.372849	2.299940	39.928462	41.480000	
0.048047	2.353717	2.215931	40.217692	43.640000	
0.047839	2.326139	2.302731	40.801538	41.800000	
0.047621	2.311725	2.392086	41.247692	38.960000	
0.047393	2.300941	2.444722	41.508462	37.660000	
0.047155	2.279502	2.453448	41.928462	39.100000	
0.046908	2.266049	2.348517	42.295385	40.420000	
0.046651	2.265266	2.394071	42.299231	39.360000	
0.046384	2.247007	2.206757	42.790769	43.200000	
0.046108	2.232231	2.126031	43.046923	45.220000	
0.045823	2.227998	2.250820	43.008462	42.060000	
0.045529	2.219844	2.192119	43.237692	43.880000	
0.045226	2.211720	2.411043	43.583846	39.760000	
0.044914	2.198195	2.161209	43.913846	44.500000	
0.044593	2.188881	2.139940	44.043846	45.280000	
0.044263	2.179002	2.085566	44.075385	45.960000	
0.043925	2.179752	2.323741	44.064615	42.320000	
0.043579	2.162277	2.139288	44.746923	45.320000	
0.043225	2.163174	2.083113	44.699231	45.280000	
0.042862	2.146090	2.226248	44.944615	42.880000	
0.042492	2.149934	2.259446	45.020769	41.920000	
0.042114	2.140406	2.136021	45.176923	45.240000	
0.041729	2.133197	2.030776	45.384615	47.940000	
0.041336	2.131992	2.211821	45.265385	43.960000	
0.040936	2.120482	2.121982	45.595385	45.020000	
0.040529	2.121079	2.088845	45.563077	46.600000	
0.040115	2.110487	2.061272	45.748462	46.880000	
0.039695	2.105762	2.200407	45.873077	43.680000	
0.039268	2.099797	2.121211	45.973077	45.660000	
0.038835	2.097752	2.102207	45.867692	46.740000	
0.038396	2.091309	2.137729	46.190000	45.040000	
0.037951	2.085907	2.027127	46.371538	48.020000	
0.037500	2.079856	2.045626	46.359231	47.240000	
0.037044	2.077934	2.025330	46.494615	47.440000	
0.036583	2.072034	2.095667	46.721538	46.580000	
0.036116	2.064208	2.038351	46.866154	47.380000	
0.035645	2.057355	1.946583	46.996923	49.120000	
0.035169	2.051982	1.980658	47.272308	48.360000	
0.034688	2.053016	2.005423	47.200000	47.860000	
0.034204	2.044975	1.994948	47.362308	48.840000	
0.033715	2.041295	1.970785	47.371538	48.780000	
0.033222	2.038119	2.021209	47.436923	47.480000	
0.032726	2.030555	1.995357	47.512308	49.140000	
0.032226	2.024389	1.920304	47.785385	50.420000	
0.031723	2.021229	1.923332	47.729231	50.100000	
0.031218	2.022666	2.079448	47.780769	47.120000	
0.030709	2.017792	1.917180	47.971538	50.500000	
0.030198	2.000396	1.962753	48.270769	49.400000	
0.029685	2.005502	1.956765	48.121538	49.400000	
0.029170	2.002076	1.974446	48.190769	49.380000	
0.028653	1.992134	1.991482	48.479231	48.700000	
0.028134	1.997426	1.911929	48.450000	50.180000	
0.027614	1.983569	1.967268	48.588462	48.440000	
0.027092	1.983997	1.966141	48.566154	49.720000	
0.026570	1.976363	1.959693	48.823077	49.040000	
0.026047	1.975022	1.915690	48.923846	50.140000	
0.025524	1.968652	1.886564	49.054615	51.020000	
0.025001	1.962839	1.840591	49.060000	51.860000	
0.024477	1.958766	1.875975	49.426154	51.720000	
0.023954	1.951409	1.891937	49.493846	51.000000	
0.023431	1.949571	1.862852	49.668462	51.580000	
0.022909	1.938748	1.874839	49.779231	51.660000	
0.022387	1.942530	1.880780	49.702308	51.240000	
0.021867	1.930079	1.856104	49.960769	52.040000	
0.021348	1.932950	1.865049	49.835385	51.620000	
0.020831	1.925855	1.843061	50.060769	51.860000	
0.020316	1.925282	1.871632	50.015385	51.640000	
0.019803	1.919488	1.822855	50.163846	51.800000	
0.019292	1.911865	1.856900	50.376154	51.800000	
0.018783	1.905386	1.850858	50.440769	52.040000	
0.018278	1.900325	1.847934	50.791538	51.380000	
0.017775	1.899441	1.802483	50.597692	53.020000	
0.017275	1.891172	1.844909	50.889231	51.980000	
0.016779	1.884971	1.812407	50.910769	52.840000	
0.016286	1.888977	1.802321	50.770769	52.540000	
0.015797	1.878726	1.827697	51.188462	52.940000	
0.015313	1.874352	1.819804	51.332308	52.620000	
0.014832	1.877256	1.790679	51.129231	53.960000	
0.014356	1.867819	1.831517	51.456154	52.680000	
0.013885	1.867492	1.781522	51.258462	53.460000	
0.013418	1.858263	1.796241	51.548462	54.160000	
0.012957	1.848728	1.790230	51.835385	53.280000	
0.012500	1.845746	1.759901	51.916154	53.840000	
0.012050	1.842949	1.779582	51.909231	53.100000	
0.011605	1.832954	1.764623	52.459231	53.800000	
0.011166	1.827987	1.742607	52.386923	54.220000	
0.010733	1.829800	1.765415	52.308462	54.320000	
0.010306	1.816172	1.752151	52.626154	54.420000	
0.009885	1.814462	1.731220	52.855385	54.940000	
0.009472	1.815883	1.750575	52.646923	54.540000	
0.009065	1.807610	1.729773	52.916923	55.040000	
0.008665	1.806903	1.732742	52.965385	55.520000	
0.008272	1.801290	1.735257	53.056923	55.060000	
0.007887	1.792657	1.724500	53.276154	55.020000	
0.007509	1.786953	1.726732	53.340000	55.300000	
0.007139	1.779371	1.716289	53.449231	55.660000	
0.006776	1.779182	1.712233	53.650769	55.740000	
0.006422	1.772161	1.695638	53.663077	56.020000	
0.006075	1.774587	1.688369	53.700769	56.200000	
0.005737	1.762744	1.684607	53.946923	56.600000	
0.005408	1.764260	1.678810	54.036154	55.760000	
0.005087	1.753850	1.676924	54.356154	56.480000	
0.004775	1.747413	1.680325	54.428462	56.200000	
0.004472	1.741827	1.669558	54.475385	56.840000	
0.004177	1.737335	1.671967	54.369231	56.160000	
0.003892	1.736531	1.646021	54.514615	57.040000	
0.003616	1.733699	1.652613	54.665385	57.020000	
0.003350	1.728658	1.650768	54.746154	57.140000	
0.003093	1.726893	1.646261	54.847692	57.020000	
0.002845	1.715511	1.651008	55.183077	56.980000	
0.002607	1.720005	1.650878	55.176154	57.040000	
0.002380	1.710646	1.632673	55.273846	57.740000	
0.002162	1.708944	1.641126	55.336923	57.560000	
0.001954	1.709500	1.639370	55.152308	57.420000	
0.001756	1.698110	1.640933	55.632308	57.440000	
0.001568	1.696032	1.633204	55.622308	57.740000	
0.001391	1.694245	1.633983	55.589231	57.840000	
0.001224	1.694754	1.624139	55.845385	58.160000	
0.001067	1.687927	1.622501	55.774615	57.820000	
0.000921	1.682778	1.623539	55.943846	57.900000	
0.000786	1.680487	1.616663	55.963846	58.140000	
0.000661	1.682790	1.614129	55.995385	57.960000	
0.000546	1.677960	1.615380	56.093846	58.020000	
0.000443	1.677825	1.612926	56.022308	58.340000	
0.000350	1.677712	1.609888	55.985385	58.040000	
0.000268	1.670515	1.614750	56.211538	57.740000	
0.000197	1.672723	1.612809	56.170769	58.000000	
0.000137	1.668046	1.610857	56.163846	58.340000	
0.000088	1.671451	1.609658	56.329231	58.320000	
0.000049	1.666071	1.610025	56.247692	58.340000	
0.000022	1.667542	1.609522	56.365385	58.220000	
0.000005	1.668251	1.610740	56.342308	58.300000	
0.000000	1.667938	1.609461	56.476923	58.380000	
